Area Code,Area Name,No religion,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,Not answered
W06000023,Powys,21863,28235,51788,49337,8384,78582,82443,43140,54822
W06000008,Ceredigion,68322,70753,29206,56917,2196,26886,63413,95739,11012
W06000009,Pembrokeshire,16743,84617,94215,37064,65186,69272,46716,63571,49933
W06000010,Carmarthenshire,41534,29600,97302,66932,37845,69985,77457,2238,9805
W06000011,Swansea,55913,65262,80249,96052,88242,46930,69165,46893,39510
W06000012,Neath Port Talbot,36010,44669,19742,11194,75996,84706,40305,61359,53392
W06000013,Bridgend,83622,88428,25646,661,87735,54691,95344,99968,88026
W06000014,Vale of Glamorgan,21200,34485,48476,6303,34666,28461,20891,98115,18994
W06000015,Cardiff,92064,88257,86210,3017,60824,53600,26942,16182,5402
W06000016,Rhondda Cynon Taf,96913,57427,57753,55075,32325,16420,61222,47127,25922
W06000024,Merthyr Tydfil,79805,67101,36404,32840,73987,69546,5746,66766,74466
W06000018,Caerphilly,75944,16854,16643,11179,28555,9514,93409,84822,97318
W06000019,Blaenau Gwent,31314,2048,96703,71493,36057,77971,42662,69964,95172
W06000020,Torfaen,19791,70565,33829,48556,18776,75178,45738,42559,27393
W06000021,Monmouthshire,6148,25679,81902,98811,2337,29106,6543,39258,88393
W06000022,Newport,38115,21838,41978,40459,43529,11182,87406,75521,96366
