Area Code,Area Name,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80plus
W06000023,Powys,54542,38897,78838,1200,65285,71035,68885,93260,19776
W06000008,Ceredigion,11286,144324,42866,54949,32976,96699,45478,82078,96612
W06000009,Pembrokeshire,28693,35423,5880,103403,74201,79963,100388,51587,78593
W06000010,Carmarthenshire,23902,7891,69594,112366,10586,78944,88911,78017,95412
W06000011,Swansea,12248,112178,49676,52157,106428,5639,63374,23588,107299
W06000012,Neath Port Talbot,71312,21967,75796,58624,24187,45365,12251,29801,37064
W06000013,Bridgend,87825,36157,72655,89166,22228,61117,105718,1841,127562
W06000014,Vale of Glamorgan,56515,127904,9358,47342,48522,14524,118090,53018,52228
W06000015,Cardiff,107391,13039,4805,44774,1034,112652,27646,40599,7607
W06000016,Rhondda Cynon Taf,68777,2923,56963,27155,82273,108679,22441,129586,4838
W06000024,Merthyr Tydfil,52929,23254,61613,92825,140423,113458,115963,15066,39275
W06000018,Caerphilly,63602,71479,77261,7857,80580,18773,108795,45426,86315
W06000019,Blaenau Gwent,91057,98827,23609,28218,47962,32360,34494,41895,65783
W06000020,Torfaen,116358,42752,47374,32392,11074,74996,47551,9634,32083
W06000021,Monmouthshire,11963,92505,96324,39702,100160,10822,50058,11429,57580
W06000022,Newport,71749,37289,112960,25614,14647,4452,15571,8448,60919
