Area Code,Area Name,0 - 4,5 - 9,10 - 15,16 - 19,20 - 24,25 - 34,35 - 49,50 - 64,65 - 74,75 - 84,85 - 115
E07000216,Waverley,4552,2516,7155,8955,3247,5833,4586,1734,4089,9293,7297
E07000217,Woking,7324,2200,7721,3666,9987,7122,4195,6219,2090,3078,6595
E10000032,West Sussex,5551,6068,7686,5879,3283,1948,3720,7976,1355,5525,1699
E07000223,Adur,5006,3849,8374,2424,7194,4617,6007,6056,1107,7243,6451
E07000224,Arun,6502,7302,6084,3070,9422,6744,4816,2637,6699,7009,9506
E07000225,Chichester,2452,4649,9900,1227,4384,4789,1354,5323,6286,5054,2106
E07000226,Crawley,7943,2857,7673,8693,7643,3412,1988,1111,2511,3839,1629
E07000227,Horsham,2817,2931,4394,2416,2447,6999,4077,6257,8705,9381,8681
E07000228,Mid Sussex,5809,5240,5580,3555,8043,6396,6080,2515,1643,5763,7623
E07000229,Worthing,6567,2541,5670,2276,9706,9808,2214,6686,2772,5524,3590
E12000009,SOUTH WEST,2654,3149,4352,6513,9512,3511,2863,7240,5926,2900,2356
E06000022,Bath and North East Somerset,5785,5910,5960,8579,8363,6847,5208,5944,1387,6888,8618
E06000058,"Bournemouth, Christchurch and Poole",3241,5070,7768,4346,1406,8718,1626,9834,8164,9620,8939
E06000023,"Bristol, City of",6276,5140,7305,1278,8273,4405,3488,9374,9257,8126,4075
E06000052,Cornwall,1844,3745,1319,4267,3666,8514,5279,6871,4316,4463,5938
E06000053,Isles of Scilly,8189,3211,9235,7873,3797,2539,1178,9717,4090,6996,5602
E06000059,Dorset,5542,7942,1539,6006,9037,3108,1778,1343,8755,6075,3852
E06000024,North Somerset,7659,1572,3736,7068,7606,7342,5238,1605,6103,3182,6699
E06000026,Plymouth,3528,3635,6550,2628,9892,1837,2911,4327,1387,7590,2221
E06000025,South Gloucestershire,8298,9221,6865,3381,1478,4241,7474,2794,3045,3419,8166
E06000030,Swindon,1812,1665,7514,9376,6427,4974,4722,5513,9863,8071,2476
E06000027,Torbay,1846,3283,7348,4927,4057,3126,7231,6556,7119,7973,9183
E06000054,Wiltshire,6016,6942,9672,1964,3304,3413,2047,4701,3617,3164,1553
E10000008,Devon,3596,9813,7333,2537,6533,4226,9653,6281,4776,3783,4605
E07000040,East Devon,2328,2069,6695,9572,7886,1700,4452,3106,1954,7470,5386
E07000041,Exeter,3184,4521,9685,7442,6644,1891,7530,5552,8821,3659,4337
E07000042,Mid Devon,2273,8621,8818,4990,9295,6857,4690,9529,9967,3621,6876
E07000043,North Devon,5484,5735,4556,6653,8149,8899,3861,5868,7830,1875,1225
E07000044,South Hams,1948,7898,7390,5335,3330,5874,8347,2908,3119,5131,1874
E07000045,Teignbridge,1973,1790,7964,8183,3594,8438,2499,4769,8253,6819,7646
E07000046,Torridge,1974,6781,4214,1039,5254,8496,9198,9162,8475,4188,9846
E07000047,West Devon,4703,7294,5809,3283,5497,5359,7032,4520,9659,2322,5486
E10000013,Gloucestershire,1551,1780,1635,5188,7630,3115,6787,6103,1328,4922,4342
E07000078,Cheltenham,3105,4848,5172,8920,4711,1373,7466,4890,1426,9146,5181
E07000079,Cotswold,7146,5633,4382,6730,4588,8113,5955,7656,2150,2933,6251
E07000080,Forest of Dean,1310,8594,7001,5358,6062,1829,1336,6138,4256,9528,7374
E07000081,Gloucester,8706,7362,8409,3066,5127,1580,1206,2411,1536,7232,1076
E07000082,Stroud,5473,8659,6028,7894,6973,9231,4557,9327,1472,7603,9856
E07000083,Tewkesbury,3422,4499,9916,2015,7284,3640,9070,1787,2779,5571,8347
E10000027,Somerset,7827,7025,2996,1513,9180,9892,6067,2222,4664,8193,4188
E07000187,Mendip,3826,4604,7786,9827,9284,9997,7299,9370,6402,1333,5799
E07000188,Sedgemoor,2960,3365,5988,5559,7964,7974,7077,2365,7235,3111,9054
E07000246,Somerset West and Taunton,6079,4058,6179,8895,1670,2368,8834,7291,7036,6393,9676
E07000189,South Somerset,9472,7566,3828,9465,7494,1238,5825,3875,7782,4125,5631
W92000004,WALES,3189,4666,6031,8342,7401,7232,2798,8647,8051,5187,1699
W06000001,Isle of Anglesey,4048,1039,2381,6229,5089,1479,4923,8837,1563,8445,2576
W06000002,Gwynedd,7960,4739,8069,6645,7052,1757,5881,3632,6263,2117,3435
W06000003,Conwy,9887,5631,2398,1956,3828,8761,9556,6554,4534,1632,9389
W06000004,Denbighshire,7031,1063,8026,5575,3343,4459,4193,9347,9365,3954,8412
W06000005,Flintshire,3212,7004,9610,6383,7911,6509,7701,9438,7396,1171,3560
W06000006,Wrexham,2422,7385,6340,6974,5691,8025,7342,2882,8894,6107,6319
W06000023,Powys,5327,7369,7140,3806,1787,5580,3284,9949,1423,7084,1096
W06000008,Ceredigion,7435,9265,1241,6777,4733,4826,8999,2727,8112,1572,8557
W06000009,Pembrokeshire,7790,5623,2807,8915,9373,6890,1940,8311,7540,4529,6563
W06000010,Carmarthenshire,1455,1179,8943,3995,4973,3995,8380,2867,7399,6564,4933
W06000011,Swansea,5756,5969,3575,6679,4241,1615,5006,2782,9766,7041,9192
W06000012,Neath Port Talbot,9151,6927,8156,6355,1018,2928,3669,5090,8966,8800,6581
W06000013,Bridgend,4841,8175,4295,1586,9578,7126,3205,6734,1679,9732,4223
W06000014,Vale of Glamorgan,1838,1873,5773,6791,8164,6883,3870,3692,3097,4479,4954
W06000015,Cardiff,8522,3582,8817,5689,3854,3177,4824,7387,8765,4700,4081
W06000016,Rhondda Cynon Taf,3974,1831,4770,9989,4676,9583,6304,9629,4830,9776,3707
W06000024,Merthyr Tydfil,1151,6741,8060,1535,3264,3569,4245,1422,5231,7789,1847
W06000018,Caerphilly,5897,5736,3923,2773,8117,7363,7573,8710,4725,4394,3685
W06000019,Blaenau Gwent,8360,1213,2017,2673,5554,5320,6768,1656,6402,2385,3482
W06000020,Torfaen,4508,8545,1638,3584,8332,5918,1312,4098,5346,5627,9942
W06000021,Monmouthshire,5264,2658,7630,4300,1973,3556,7656,4901,7069,8262,7936
W06000022,Newport,7572,2736,9940,1331,3075,5926,1153,1548,6495,3418,3322
