Area Code,Area Name,One person household: Aged 66 years and over,One person household: Other,Single family household: All aged 66 years and over,Single family household: Married or civil partnership couple: No children,Single family household: Married or civil partnership couple: Dependent children,Single family household: Married or civil partnership couple: All children non-dependent,Single family household: Cohabiting couple family : No children,Single family household: Cohabiting couple family : With dependent children,Single family household: Cohabiting couple family : All children non-dependent,Single family household: Lone parent family : With dependent children,Single family household: Lone parent family : All children non-dependent,Single family household: Other single family household: Other family composition,Multiple-family household: With dependent children,"Multiple-Family Household : Other, including all full-time students and all aged 66 years and over"
E06000046,Isle of Wight,21471,33687,73345,15950,48115,14512,57752,69346,76348,93178,1032,53296,47090,21900
E06000035,Medway,56106,98570,2440,78607,60451,50947,86530,38364,57757,64366,37096,33295,66068,44591
E06000042,Milton Keynes,16801,87266,57918,56115,14845,80638,20651,46626,32175,41612,87447,21453,47234,64341
E06000044,Portsmouth,49073,59572,35845,38681,23007,91098,79131,9988,47853,53769,3124,47663,54177,49888
E06000038,Reading,1491,54657,36514,37008,54438,91682,94933,7166,27372,74467,31899,22758,89469,60397
E06000039,Slough,73860,98976,23482,57013,62360,1903,94766,34580,9570,84272,57498,50673,15568,11806
E06000045,Southampton,75930,92818,39629,79476,93216,5317,16855,99786,78690,95617,53104,22945,30006,80896
E06000037,West Berkshire,15901,9383,92875,1733,23638,80525,1655,94881,62725,81380,34611,83820,41214,60595
E06000040,Windsor and Maidenhead,973,32036,22540,21627,88519,64171,23353,3526,28180,82250,19012,51361,5569,75623
E06000041,Wokingham,78441,14724,5637,22267,79628,60367,25948,15840,19357,82695,48138,58269,57602,67542
E06000060,Buckinghamshire,81950,15913,14861,75343,59249,27486,25832,54485,59785,10423,51402,42187,45599,22601
E10000011,East Sussex,67645,2686,427,78828,94640,22055,44654,31489,30151,11471,7369,51957,89238,41957
E07000061,Eastbourne,94468,56850,60684,99293,95239,95680,3445,27912,69674,16157,67813,99538,53299,55068
E07000062,Hastings,37904,26828,36041,28779,78407,23385,22026,67300,84208,90469,74226,10846,7424,86215
E07000063,Lewes,42946,80604,46991,96635,35114,50956,35339,26346,54688,41308,69318,30484,90830,46718
E07000064,Rother,46248,15228,97205,79176,81697,89665,39079,27820,51285,14253,3463,18845,48957,82726
E07000065,Wealden,90435,40758,67684,22590,25810,43503,53936,58791,3757,23843,44994,56271,84985,5364
E10000014,Hampshire,15835,5767,9978,15819,74421,52670,26083,51387,81921,91906,71245,85995,5968,64354
E07000084,Basingstoke and Deane,15755,48466,91491,5470,84324,59570,14157,39598,87692,96822,42391,76046,18430,32516
E07000085,East Hampshire,48707,39029,57472,87516,96971,59135,47019,47194,56604,18303,53581,44214,60172,83172
E07000086,Eastleigh,84515,87766,60174,20064,74593,67623,44712,67083,77708,59557,18845,40157,66107,14649
E07000087,Fareham,64196,68999,67639,54354,72777,51656,69070,98035,34192,29660,41458,44047,9180,54441
E07000088,Gosport,18648,33479,84616,72193,10081,29809,92861,20445,68078,26667,6351,74186,54934,26572
E07000089,Hart,53879,82180,50547,20929,3885,3068,36667,10983,21675,91174,87732,21316,14213,37969
E07000090,Havant,86907,77024,85899,24879,33152,50014,91827,56626,71226,80521,66983,17738,5562,55979
E07000091,New Forest,76247,49832,82296,65176,1035,96159,43774,53048,20466,75272,26041,15366,69544,73238
E07000092,Rushmoor,60563,91419,7799,69742,27650,34851,10741,17394,93192,33834,20091,9513,89838,93722
E07000093,Test Valley,98854,34365,34145,44342,80793,71745,12122,25241,75600,71654,54571,51579,44805,9650
E07000094,Winchester,89794,71804,18028,93253,22437,16764,22845,88204,63980,44494,49433,38585,42142,82332
E10000016,Kent,16512,91956,27217,95677,19175,3507,59914,6543,73096,13723,73261,98717,75087,66239
E07000105,Ashford,42708,609,5353,30509,19843,7477,50338,10921,856,66891,75478,1158,87187,22246
E07000106,Canterbury,84295,45697,9289,61441,90748,58739,48489,37406,83664,18027,55490,21770,72309,39169
E07000107,Dartford,66189,98722,12588,28900,99556,67236,80273,53645,30730,95706,65947,57302,13678,81425
E07000108,Dover,14620,62240,24944,47811,13014,66621,28475,94716,59773,19152,40432,14198,76425,54351
E07000109,Gravesham,8666,37527,44414,86916,67866,9263,4472,61816,46124,99303,18788,27349,47750,93954
E07000110,Maidstone,20224,41044,73229,63594,68816,66313,38133,30394,99570,96216,95884,83217,91610,99475
E07000111,Sevenoaks,96040,63478,83795,26006,65159,46242,22139,63222,33895,63897,4803,39188,59013,50403
E07000112,Folkestone and Hythe,85240,82492,18155,62839,62170,32631,64619,27317,87175,5571,78185,81311,86768,81779
E07000113,Swale,19369,87914,83748,69061,67662,19312,72327,48244,6745,41549,55857,82778,10794,25777
E07000114,Thanet,94116,96523,86047,65143,52034,54483,67798,59872,41281,91377,85194,34958,21917,50013
E07000115,Tonbridge and Malling,51590,70991,85693,19440,5081,95596,38367,14646,41676,44670,53711,38336,60338,35187
E07000116,Tunbridge Wells,19451,9924,77569,41927,70785,80400,25992,60260,96556,18989,18441,43060,178,47955
E10000025,Oxfordshire,28679,70756,16283,80272,64206,35867,97479,29309,87555,66462,41527,81175,63317,82806
E07000177,Cherwell,94128,84908,75345,11513,53897,52355,96604,90995,46884,89576,66211,10487,44555,78618
E07000178,Oxford,98583,29654,32833,92661,27825,3767,55145,43301,83250,1600,78090,29551,98763,58926
E07000179,South Oxfordshire,30081,25195,65951,2724,22669,84406,84816,82093,57757,70394,9026,96520,76158,20481
E07000180,Vale of White Horse,23926,55802,67074,5590,6490,80418,3660,56374,801,82115,10934,33604,6794,92937
E07000181,West Oxfordshire,93214,74420,57788,14062,19871,86020,56615,50863,86126,52210,46431,28576,82282,3001
E10000030,Surrey,80481,58348,88723,83992,21033,87680,46139,19894,54017,90544,33862,56314,95219,65912
E07000207,Elmbridge,76835,99521,83196,75640,85398,57707,1145,25487,6282,27868,22828,18885,16579,35360
E07000208,Epsom and Ewell,79951,79748,94327,98042,6688,89508,12272,30418,24188,6676,34326,36784,73119,99694
E07000209,Guildford,32365,98513,80308,42509,87799,81309,71958,63948,86719,83159,39954,75461,53855,49070
E07000210,Mole Valley,84836,73170,20694,84837,27458,70229,90342,8914,88070,80485,69766,81956,20232,13383
E07000211,Reigate and Banstead,77552,76661,21213,58643,30135,32700,1703,11472,26863,98550,80114,16140,10486,28467
E07000212,Runnymede,86568,98958,93534,40894,39620,58788,79779,59908,55504,72352,59912,59211,15699,78001
E07000213,Spelthorne,71816,90870,6143,24225,74849,34643,42203,26367,45759,62957,15614,28630,54973,7007
E07000214,Surrey Heath,8705,88230,95783,27898,65582,42200,35883,39728,53433,98376,14679,28710,99517,50083
E07000215,Tandridge,46301,62057,52193,73002,70461,86847,72277,16018,65723,1442,71697,83183,8058,19541
E07000216,Waverley,52699,14389,82024,18062,91412,89539,70724,82614,81187,4991,95770,72062,24605,67021
E07000217,Woking,51469,49371,99495,78401,53969,76848,90363,11433,89276,1265,8901,94177,99219,13048
E10000032,West Sussex,14374,98785,37633,93281,18342,14771,67353,13879,27835,51258,80840,52855,75678,19675
E07000223,Adur,21882,82368,63146,79712,10854,73018,25682,62911,45568,27478,5777,96674,31978,10475
E07000224,Arun,77474,73903,59862,38880,85105,51009,49497,61855,61241,33373,5463,32453,10661,13864
E07000225,Chichester,37275,50145,8188,12406,59662,59092,51767,6715,96930,17090,61882,56183,6032,18369
E07000226,Crawley,17633,23988,12243,95747,32830,78352,58345,68160,59554,81999,79021,37825,41972,15437
E07000227,Horsham,36112,99997,30581,32775,33044,11613,21752,96186,73843,73441,97092,95927,14811,31139
E07000228,Mid Sussex,24274,75178,73427,53760,48656,37486,20216,24099,29304,36806,54043,22196,11704,57387
E07000229,Worthing,45165,56177,43390,89202,85723,74460,33843,47301,2742,47985,3046,9081,62400,6319
E12000009,SOUTH WEST,49119,95376,93134,29940,98024,53189,81113,35126,58326,73307,62239,95494,40316,39370
E06000022,Bath and North East Somerset,53723,45513,50679,33751,62874,99892,732,29142,17480,78742,41061,30660,5430,22056
E06000058,"Bournemouth, Christchurch and Poole",79204,99536,18784,16065,58730,39732,77234,7373,7822,58563,48794,99437,64924,85284
E06000023,"Bristol, City of",59182,96271,10221,30467,35448,75001,71728,88177,91043,78716,3075,68972,10653,47650
E06000052,Cornwall,94819,30025,46102,271,72184,84461,83072,50487,46317,34108,30670,54711,69408,57229
E06000053,Isles of Scilly,16226,33602,15488,4725,98356,19623,14234,93700,60994,34611,68132,60235,93895,6323
E06000059,Dorset,69620,47062,52029,64440,34298,79877,40345,42907,26108,87386,39517,58732,42998,54122
E06000024,North Somerset,93812,86429,5716,91243,68569,65141,79653,84168,64245,15692,69864,58532,39684,21668
E06000026,Plymouth,31752,17857,38176,71470,87568,79113,40974,15473,57969,28103,96266,10969,97219,86265
E06000025,South Gloucestershire,10222,12868,30081,30209,95673,29262,7300,73283,58657,14665,44443,65138,67958,97692
E06000030,Swindon,61651,84090,66825,94613,15427,78584,18573,83200,41439,52829,63018,94683,83649,30772
E06000027,Torbay,45625,17742,28179,15674,97219,73750,20336,76122,25224,88293,19461,74848,30010,15142
E06000054,Wiltshire,91814,28594,61886,20452,30807,77287,54204,96833,21443,78959,52306,26461,14233,13547
E10000008,Devon,47563,21229,17691,76392,69410,16755,60539,2756,67635,75481,3775,39768,63083,36341
E07000040,East Devon,58515,16580,22012,93791,73823,67268,66689,79953,62928,78290,37673,99833,91344,84648
E07000041,Exeter,15568,1402,14647,71477,55928,69525,27402,30949,70515,32463,57220,30383,72863,61702
E07000042,Mid Devon,47470,26772,63282,35857,22473,65606,42828,13499,41803,34891,39492,71017,6834,35765
E07000043,North Devon,17813,46038,61413,49273,41964,78344,64824,96966,51058,4042,1160,94818,9362,16958
E07000044,South Hams,21674,43221,16535,27877,6558,42409,50166,90491,60645,64663,70037,26387,87126,29280
E07000045,Teignbridge,19807,54735,6036,30954,77051,67557,35558,78148,41252,19257,93883,78569,33589,93481
E07000046,Torridge,51680,32975,12865,4504,82058,1484,61717,56971,56289,60456,12527,39191,11972,28614
E07000047,West Devon,62663,68296,5844,14083,49805,2116,51178,68840,89266,25874,55252,91686,95293,27512
E10000013,Gloucestershire,23483,15850,20613,18045,96130,91614,51122,1799,42295,69740,76408,67919,2871,39023
E07000078,Cheltenham,65178,50145,23131,56097,21432,80763,50137,78495,73802,29219,42929,87988,62063,66795
E07000079,Cotswold,17832,80903,38706,32161,51558,63989,87803,83722,5422,36469,81751,97583,78229,84943
E07000080,Forest of Dean,52598,34614,68688,34864,81114,93401,27246,52282,5551,57002,10572,54301,74565,44557
E07000081,Gloucester,75298,76382,44947,96564,67760,11790,17798,89923,26691,86645,60990,98146,84481,77471
E07000082,Stroud,30254,18066,3161,46152,45884,65128,22032,32670,57888,77540,96716,16504,52006,82453
E07000083,Tewkesbury,31494,50829,33174,69662,14754,68578,77662,77353,91323,26727,51522,31348,38524,93555
E10000027,Somerset,97599,46469,48815,66193,64685,28500,60942,32370,68836,42965,85966,85446,92625,94182
E07000187,Mendip,55190,36473,23166,96918,26225,63793,91208,87842,85540,85894,35700,28410,12361,35298
E07000188,Sedgemoor,65088,59564,44411,21406,45522,84332,57636,606,95053,67300,7804,9754,26823,58229
E07000246,Somerset West and Taunton,30103,55605,35307,99172,54065,85205,88875,76578,91683,69215,60473,17790,44608,63922
E07000189,South Somerset,64057,9907,77731,18818,18993,88394,23252,22120,71677,94769,23273,43902,19001,9604
W92000004,WALES,69498,96081,50425,11908,73610,34815,42112,86043,18327,57248,97160,87577,32325,16798
W06000001,Isle of Anglesey,96973,71000,42374,23638,10792,42434,65989,75667,35616,59653,60156,18151,59723,48148
W06000002,Gwynedd,1783,79598,37611,68585,64154,15824,84689,18478,88235,8627,67538,92967,50651,5685
W06000003,Conwy,76237,97016,1373,64719,49167,50548,79942,13705,5172,24031,21697,72438,2648,96234
W06000004,Denbighshire,82587,91198,82839,21303,63339,92197,9605,19636,16189,59742,68926,30728,42656,78793
W06000005,Flintshire,75150,51296,25436,17422,84935,78729,34493,54899,68475,75776,40968,25602,24052,32719
W06000006,Wrexham,12407,10418,6855,31083,78888,1116,1908,10378,29845,593,54357,83724,6764,85731
W06000023,Powys,49171,56937,43489,85807,54107,20060,85810,11939,29334,81001,60885,86570,20956,91356
W06000008,Ceredigion,89782,82451,75079,90391,96018,63882,27601,16263,88933,717,64973,15070,15290,82090
W06000009,Pembrokeshire,54886,91518,65070,66588,16430,27276,52610,90291,63420,35328,47628,99171,74757,90605
W06000010,Carmarthenshire,12923,20337,87309,96113,65698,17945,59229,68658,30773,90768,70671,47095,94601,1241
W06000011,Swansea,3821,80155,62175,75137,87787,32358,66490,85608,33555,31222,28417,62890,40825,90707
W06000012,Neath Port Talbot,94174,38876,51374,41281,39839,40694,90838,27993,39910,89050,72335,85679,41059,47298
W06000013,Bridgend,93167,29496,67752,55160,92423,81029,40449,55636,97048,26936,31549,90357,32099,37974
W06000014,Vale of Glamorgan,28225,86729,44318,97082,16908,72976,96792,32559,43297,46221,30114,68857,56112,52354
W06000015,Cardiff,110,24540,45174,68243,43566,32950,25793,46077,13626,21498,15379,38559,92468,66282
W06000016,Rhondda Cynon Taf,80700,58014,54024,37593,88107,47444,17754,21304,39133,89272,32303,32751,31807,85078
W06000024,Merthyr Tydfil,75087,91233,74359,30102,712,99689,57966,80132,84892,41866,46886,64774,17762,4376
W06000018,Caerphilly,45149,91465,7215,35981,21145,93534,29091,86620,91546,98395,67221,41985,32346,70079
W06000019,Blaenau Gwent,79636,32596,3060,68849,98357,98378,3114,84296,31997,89109,11979,26007,32701,40867
W06000020,Torfaen,90997,6183,98902,66347,13715,49468,90224,9824,42600,12766,61783,47224,88330,92161
W06000021,Monmouthshire,90675,97610,47705,34596,63614,97403,15374,9509,59976,81244,57271,42339,92755,87991
W06000022,Newport,62805,79644,92708,15461,97376,12790,80327,26704,204,2351,13422,48773,78218,77799
